"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 3690; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 3690; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 4185; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 4185; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 4455; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 4455; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 4815; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 4815; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 5175; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 5175; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 5670; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21 EVI_C CNG Paso 5670; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 3690; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 3690; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 4185; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 4185; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 4455; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 4455; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 4815; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 4815; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 5175; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 5175; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 5670; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21/P EVI_C CNG Paso 5670; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 3690; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 3690; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 4185; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 4185; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 4455; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 4455; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 4815; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 4815; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 5175; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 5175; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 5670; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML160E21K EVI_C CNG Paso 5670; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 3105; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 3105; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 3330; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 3330; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 3690; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 3690; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 4185; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML80E21 CNG Paso 4185; Cambio Manual","","0,0","0,0","0,0","0,0"
