"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Volkswagen Turismos Arteon MY22 Arteon R-Line 1.5 TSI 110 kW (150 CV)  6 vel.","","7,8","7,8","150,0","150,0"
"Volkswagen Turismos Arteon MY22 Arteon R-Line 2.0 TDI 110 kW (150 CV)  6 vel.","","5,4","5,4","133,0","133,0"
"Volkswagen Turismos Arteon MY22 Arteon R-Line 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.","","5,1","5,1","133,0","133,0"
"Volkswagen Turismos Arteon MY22 Arteon R-Line 2.0 TDI 147 kW (200 CV)  Automatico DSG 7 vel.","","5,5","5,5","144,0","144,0"
"Volkswagen Turismos Arteon MY22 Arteon R-Line 2.0 TSI 140 kW (190 CV)  Automatico DSG 7 vel.","","7,8","7,8","165,0","165,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake 1.5 TSI 110 kW (150 CV)  6 vel.","","6,0","6,0","144,0","144,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake 2.0 TDI 110 kW (150 CV)  6 vel.","","7,7","7,7","128,0","128,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake eHybrid Elegance 1.4 TSI Combinado: 160 kW (218 CV) Automatico DSG 6 vel","","1,3","1,3","31,0","31,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake eHybrid R-Line 1.4 TSI Combinado: 160 kW (218 CV) Automatico DSG 6 vel.","","1,3","1,3","31,0","31,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake Elegance 1.5 TSI 110 kW (150 CV)  6 vel.","","7,8","7,8","152,0","152,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake Elegance 2.0 TDI 110 kW (150 CV)  6 vel.","","5,8","5,8","135,0","135,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake Elegance 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.","","5,2","5,2","135,0","135,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake Elegance 2.0 TDI 147 kW (200 CV)  Automatico DSG 7 vel.","","5,6","5,6","147,0","147,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake Elegance 2.0 TSI 140 kW (190 CV)  Automatico DSG 7 vel.","","7,9","7,9","167,0","167,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake R 2.0 TSI 235 kW (320 CV)  Automatico DSG 7 vel.","","9,2","9,2","210,0","210,0"
"Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake R-Line 1.5 TSI 110 kW (150 CV)  6 vel.","","7,8","7,8","152,0","152,0"
