"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Volkswagen Turismos PASSAT  MY22 Passat 2.0 TDI 90 kW (122 CV)  Automatico DSG 7 vel.","","4,7","4,7","123,0","123,0"
"Volkswagen Turismos PASSAT  MY22 Passat Business 1.5 TSI 110 kW (150 CV)  6 vel.","","6,0","6,0","137,0","137,0"
"Volkswagen Turismos PASSAT  MY22 Passat Business 2.0 TDI 110 kW (150 CV)  6 vel.","","4,7","4,7","122,0","122,0"
"Volkswagen Turismos PASSAT  MY22 Passat Business 2.0 TDI 90 kW (122 CV)  Automatico DSG 7 vel.","","4,7","4,7","123,0","123,0"
"Volkswagen Turismos PASSAT  MY22 Passat Executive 1.5 TSI 110 kW (150 CV)  6 vel.","","6,1","6,1","138,0","138,0"
"Volkswagen Turismos PASSAT  MY22 Passat Executive 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.","","6,2","6,2","141,0","141,0"
"Volkswagen Turismos PASSAT  MY22 Passat Executive 2.0 TDI 110 kW (150 CV)  6 vel.","","4,7","4,7","124,0","124,0"
"Volkswagen Turismos PASSAT  MY22 Passat Executive 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.","","4,7","4,7","123,0","123,0"
"Volkswagen Turismos PASSAT  MY22 Passat Executive 2.0 TDI 90 kW (122 CV)  Automatico DSG 7 vel.","","4,7","4,7","124,0","124,0"
"Volkswagen Turismos PASSAT  MY22 Passat GTE 1.4 TSI Combinado: 160 kW (218 CV)  Automatico DSG 6 vel.","","1,1","1,1","26,0","26,0"
"Volkswagen Turismos PASSAT  MY22 Passat R-Line 1.5 TSI 110 kW (150 CV)  6 vel.","","6,2","6,2","142,0","142,0"
"Volkswagen Turismos PASSAT  MY22 Passat R-Line 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.","","6,4","6,4","145,0","145,0"
"Volkswagen Turismos PASSAT  MY22 Passat R-Line 2.0 TDI 110 kW (150 CV)  6 vel.","","4,8","4,8","127,0","127,0"
"Volkswagen Turismos PASSAT  MY22 Passat R-Line 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.","","4,8","4,8","126,0","126,0"
"Volkswagen Turismos PASSAT  MY22 Passat R-Line 2.0 TDI 147 kW (200 CV)  Automatico DSG 7 vel.","","5,2","5,2","137,0","137,0"
"Volkswagen Turismos PASSAT  MY22 Passat R-Line 2.0 TSI 140 kW (190 CV)  Automatico DSG 7 vel.","","6,9","6,9","156,0","156,0"
"Volkswagen Turismos Passat Alltrack MY 21 PASSAT ALLTRACK 2.0 TDI EVO 147kW (200CV) DSG 7 vel. 4Motion","","5,9","5,9","153,0","153,0"
"Volkswagen Turismos Passat Alltrack MY 21 Passat Alltrack 2.0 TFSI 206 kW (280 CV) Automático DSG 7 vel. 4motion","","8,8","8,8","199,0","199,0"
"Volkswagen Turismos Passat Alltrack MY22 Passat Alltrack 2.0 TDI 4Motion 147 kW (200 CV)  Automatico DSG 7 vel.","","5,8","5,8","152,0","152,0"
"Volkswagen Turismos Passat Alltrack MY22 Passat Alltrack 2.0 TSI 4Motion 206 kW (280 CV)  Automatico DSG 7 vel.","","8,7","8,7","198,0","198,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant 1.5 TSI 110 kW (150 CV) 6 vel.","","6,3","6,3","142,0","142,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant 2.0 TDI 110 kW (150 CV) 6 vel.","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant 2.0 TDI 90 kW (122 CV) Automático DSG 7 vel.","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Business  2.0 TDI EVO 110kW (150CV) 6 vel.*","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Business 1.5 TSI 110kW (150CV) 6 vel.","","6,3","6,3","144,0","144,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Business 2.0 TDI 90 kW (122 CV) Automático DSG 7 vel.","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Executive 1.5 TSI 110 kW (150 CV) 6 vel.","","6,4","6,4","141,0","141,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Executive 1.5 TSI 110 kW (150 CV) Automático DSG 7 vel.","","6,5","6,5","147,0","147,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Executive 2.0 TDI 110 kW (150 CV) 6 vel.","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Executive 2.0 TDI 110 kW (150 CV) Automático DSG 7 vel.","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant Executive 2.0 TDI 90 kW (122 CV) Automático DSG 7 vel.","","4,9","4,9","129,0","129,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant R-Line 1.5 TSI 110 kW (150 CV) 6 vel.","","6,5","6,5","148,0","148,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant R-Line 1.5 TSI 110 kW (150 CV) Automático DSG 7 vel.","","6,7","6,7","151,0","151,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant R-Line 2.0 TDI 110 kW (150 CV) 6 vel.","","5,0","5,0","132,0","132,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant R-Line 2.0 TDI 110 kW (150 CV) Automático DSG 7 vel.","","5,0","5,0","132,0","132,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant R-Line 2.0 TDI 147 kW (200 CV) Automático DSG 7 vel.","","5,4","5,4","143,0","143,0"
"Volkswagen Turismos PASSAT VARIANT MY 21 Passat Variant R-Line 2.0 TFSI 140 kW (190 CV) Automático DSG 7 vel.","","7,2","7,2","163,0","163,0"
"Volkswagen Turismos PASSAT VARIANT MY 21Passat Variant GTE 1.4 TSI Combinado: 160 kW (218 CV) Automático DSG 6 vel.","","1,2","1,2","28,0","28,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Business Variant 2.0 TDI 110 kW (150 CV)  6 vel.","","4,8","4,8","127,0","127,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Business Variant 2.0 TDI 90 kW (122 CV)  Automatico DSG 7 vel.","","4,9","4,9","127,0","127,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant 1.5 TSI 110 kW (150 CV)  6 vel.","","6,2","6,2","141,0","141,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant 2.0 TDI 110 kW (150 CV)  6 vel.","","4,8","4,8","127,0","127,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant 2.0 TDI 90 kW (122 CV)  Automatico DSG 7 vel.","","4,9","4,9","127,0","127,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant Business 1.5 TSI 110 kW (150 CV)  6 vel.","","6,2","6,2","141,0","141,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant Executive 1.5 TSI 110 kW (150 CV)  6 vel.","","6,3","6,3","143,0","143,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant Executive 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.","","6,3","6,3","146,0","146,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant Executive 2.0 TDI 110 kW (150 CV)  6 vel.","","4,9","4,9","127,0","127,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant Executive 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.","","4,9","4,9","127,0","127,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant Executive 2.0 TDI 90 kW (122 CV)  Automatico DSG 7 vel.","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant GTE 1.4 TSI Combinado: 160 kW (218 CV)  Automatico DSG 6 vel.","","1,2","1,2","27,0","27,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant R-Line 1.5 TSI 110 kW (150 CV)  6 vel.","","6,5","6,5","146,0","146,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant R-Line 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.","","6,6","6,6","150,0","150,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant R-Line 2.0 TDI 110 kW (150 CV)  6 vel.","","5,0","5,0","131,0","131,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant R-Line 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.","","5,0","5,0","130,0","130,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant R-Line 2.0 TDI 147 kW (200 CV)  Automatico DSG 7 vel.","","5,4","5,4","141,0","141,0"
"Volkswagen Turismos PASSAT VARIANT MY22 Passat Variant R-Line 2.0 TSI 140 kW (190 CV)  Automatico DSG 7 vel.","","7,1","7,1","162,0","162,0"
"Volkswagen Turismos POLO MY21 Advance 1.0 59kW (80CV) Manual 5 vel.","","5,5","5,5","124,0","124,0"
"Volkswagen Turismos POLO MY21 Advance 1.0 TSI 70kW (95CV) DSG 7 vel.","","5,6","5,6","128,0","128,0"
"Volkswagen Turismos POLO MY21 Advance 1.0 TSI 70kW (95CV) Manual 5 vel.","","5,3","5,3","120,0","120,0"
"Volkswagen Turismos POLO MY21 Edition 1.0 59kW (80CV) Manual 5 vel.","","5,6","5,6","127,0","127,0"
"Volkswagen Turismos POLO MY21 R-Line 1.0 TSI 70kW (95CV) DSG 7 vel.","","5,6","5,6","135,0","135,0"
"Volkswagen Turismos POLO MY21 R-Line 1.0 TSI 70kW (95CV) Manual 5 vel.","","5,9","5,9","127,0","127,0"
"Volkswagen Turismos POLO MY21 R-Line 1.0 TSI 81kW (110CV) DSG 7 vel.","","6,0","6,0","136,0","136,0"
"Volkswagen Turismos POLO MY21 R-Line 1.0 TSI 85kW (110CV) Manual 6 vel.","","5,6","5,6","127,0","127,0"
"Volkswagen Turismos POLO MY21 United 1.0 TSI 70kW (95CV) DSG 7 vel.","","5,6","5,6","128,0","128,0"
"Volkswagen Turismos POLO MY21 United 1.0 TSI 70kW (95CV) Manual 5 vel.","","5,3","5,3","120,0","120,0"
"Volkswagen Turismos POLO MY21 United 1.0 TSI 81kW (110CV) DSG 7 vel.","","5,7","5,7","129,0","129,0"
"Volkswagen Turismos POLO MY21 United 1.0 TSI 81kW (110CV) Manual 6 vel.","","5,2","5,2","118,0","118,0"
"Volkswagen Turismos POLO MY22 Polo 1.0 TSI 70 kW (95 CV)  5 vel.","","5,2","5,2","117,0","117,0"
"Volkswagen Turismos POLO MY22 Polo Life 1.0 TSI 70 kW (95 CV)  5 vel.","","5,2","5,2","118,0","118,0"
"Volkswagen Turismos POLO MY22 Polo Life 1.0 TSI 70 kW (95 CV)  Automatico DSG 7 vel.","","5,5","5,5","125,0","125,0"
"Volkswagen Turismos POLO MY22 Polo Life 1.0 TSI 81 kW (110 CV)  Automatico DSG 7 vel.","","5,5","5,5","125,0","125,0"
"Volkswagen Turismos POLO MY22 Polo R-Line 1.0 TSI 70 kW (95 CV)  5 vel.","","5,2","5,2","119,0","119,0"
"Volkswagen Turismos POLO MY22 Polo R-Line 1.0 TSI 70 kW (95 CV)  Automatico DSG 7 vel.","","5,6","5,6","127,0","127,0"
"Volkswagen Turismos POLO MY22 Polo R-Line 1.0 TSI 81 kW (110 CV)  Automatico DSG 7 vel.","","5,6","5,6","128,0","128,0"
"Volkswagen Turismos T-Cross MY21 Advance 1.0 TSI 70 kW (95 CV ) 5 vel.","","5,8","5,8","132,0","132,0"
"Volkswagen Turismos T-Cross MY21 Advance 1.0 TSI 81 kW (110 CV ) 6 vel.","","5,8","5,8","133,0","133,0"
"Volkswagen Turismos T-Cross MY21 Advance 1.0 TSI 81 kW (110 CV ) Automatico DSG 7 vel.","","6,4","6,4","146,0","146,0"
"Volkswagen Turismos T-Cross MY21 Advance 1.5 TSI 110 kW (150 CV ) Automatico DSG 7 vel","","6,0","6,0","136,0","136,0"
"Volkswagen Turismos T-Cross MY21 Edition 1.0 TSI 70 kW (95 CV ) 5 vel.","","5,8","5,8","131,0","131,0"
"Volkswagen Turismos T-Cross MY21 Sport 1.0 TSI 81 kW (110 CV ) 6 vel.","","5,8","5,8","132,0","132,0"
"Volkswagen Turismos T-Cross MY21 Sport 1.0 TSI 81 kW (110 CV ) Automatico DSG 7 vel.","","6,5","6,5","146,0","146,0"
"Volkswagen Turismos T-Cross MY21 Sport 1.5 TSI 110 kW (150 CV ) Automatico DSG 7 vel.","","6,0","6,0","136,0","136,0"
"Volkswagen Turismos T-Cross MY22 T-Cross Advance 1.0 TSI 70 kW (95 CV )  5 vel.","","5,8","5,8","131,0","131,0"
